accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,103,,,,
CreateRemoteThread,0,,,,
NtResumeThread,20,,,,
NtGetContextThread,3,,,,
NtSetContextThread,2,,,,
CreateProcessInternalW,3,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,12,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,889,,,,
SetFilePointerEx,0,,,,
GetFileSize,3,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,909,,,,
NtWriteFile,7254,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
