fc,fr,fs,cr,cs,rs,fp,cp,rp,sp,label
-0.105867534,-0.083038211,0.286086023,-0.152815928,-0.059394882,0.364684079,-0.169354503,-0.09059969,0.639417308,-0.107059562,Locky
-0.106421774,-0.057187687,0.302566461,-0.152085988,-0.0575208,0.393726671,-0.166197401,-0.091569838,0.652319603,-0.108623907,Locky
-0.016416172,-0.116966089,-0.200799886,-0.125989411,0.172317735,-0.178176196,-0.090801707,-0.06233389,0.562346458,-0.153377985,TeslaCrypt
-0.103838633,-0.100644964,0.303171061,-0.152123873,-0.062222124,0.292531233,-0.167620373,-0.091076237,0.660565904,-0.107319556,Locky
-0.018708721,-0.118396546,-0.201028174,-0.125420347,0.178512348,-0.178600157,-0.089329696,-0.062337567,0.565694413,-0.155392667,TeslaCrypt
0.004504161,-0.096477871,-0.208802104,-0.125873017,0.179760416,-0.180901852,-0.101571267,-0.062373252,0.556859434,-0.14766437,TeslaCrypt
-0.10661642,-0.048503102,0.304095029,-0.15134929,-0.056564561,0.409640551,-0.164035721,-0.090543836,0.643726639,-0.107476886,Locky
-0.085919188,-0.157319915,-0.072693264,-0.105764474,-0.062243248,0.61508199,-0.144803877,-0.054751396,0.372124166,-0.108816543,Cerber
-0.095960229,-0.208959206,-0.069956585,-0.134603592,-0.06226756,0.557913589,-0.168701457,-0.043897422,0.491198442,-0.116472245,Cerber
0.773104907,-0.210118692,0,-0.125688498,0,0,-0.221643585,-0.066045725,0.520090267,0,Jigsaw
-0.097141339,-0.14080332,0.286876099,-0.143847729,-0.066736221,0.161719396,-0.136554948,-0.074426236,0.646242566,-0.086126356,Locky
-0.086383561,-0.13657477,-0.067609344,-0.104110749,-0.062325507,0.635342784,-0.124071111,-0.059837474,0.216342579,-0.095010452,Cerber
-0.052581526,0.294449874,-0.152564633,-0.140980757,-0.066981319,-0.045865122,-0.114335209,-0.071877572,0.387198639,-0.087082967,Reveton
